Epoch,Train Loss,Train Accuracy,Test Accuracy
1,-0.5553327175110578,0.5369,0.5125
2,-0.6406455764636397,0.5323,0.5095
3,-0.7262024450778961,0.5428,0.497
4,-0.7694066669553519,0.5376,0.505
5,-0.7317626962840557,0.5299,0.505
6,-0.7624885373771191,0.5238,0.48
7,-0.7061431933164597,0.5194,0.5045
8,-0.6102182257652282,0.5104,0.5265
9,-0.7217103077679873,0.5206,0.488
10,-0.7032542882561683,0.5117,0.531
11,-0.853139479419589,0.5255,0.512
12,-0.9365597225993871,0.5291,0.5005
13,-0.9015607875496149,0.5278,0.4905
14,-0.9212095725059509,0.5308,0.467
15,-0.8244664643287659,0.5214,0.5085
16,-0.8806274071484804,0.5254,0.4835
17,-0.9284126987427473,0.5336,0.519
18,-0.9351350707262754,0.5326,0.4935
19,-0.9085940713971853,0.5242,0.516
20,-0.8775994128137827,0.5239,0.4935
21,-0.9226534252226353,0.5214,0.4865
22,-0.8568392145425081,0.5208,0.517
23,-0.9426544264316559,0.5224,0.4865
24,-0.8592292270749807,0.518,0.511
25,-1.0670048739284277,0.5365,0.5075
