Epoch,Train Loss,Train Accuracy,Test Accuracy
1,-1.6469296137005092,0.8296,0.883
2,-3.475878354862332,0.8841,0.8775
3,-5.194245305299759,0.8916,0.915
4,-6.832261230280995,0.9015,0.921
5,-8.290670639541744,0.9031,0.9035
6,-9.618364849492908,0.9046,0.918
7,-10.899901734861732,0.9121,0.916
8,-12.035579140999912,0.914,0.921
9,-12.992469507923722,0.9132,0.925
10,-13.858737747845053,0.9137,0.9235
11,-14.783402466341853,0.9178,0.922
12,-15.552012685829402,0.9196,0.9275
13,-16.26675495147407,0.92,0.9305
14,-16.94887522420883,0.9239,0.924
15,-17.591646733155848,0.9279,0.925
16,-17.964853377488254,0.9236,0.93
17,-18.45144344021976,0.9248,0.9335
18,-18.888882732340694,0.926,0.9285
19,-19.238583947080375,0.9262,0.934
20,-19.72869465458989,0.9293,0.9315
21,-20.030488617742062,0.9296,0.9365
22,-20.253510907903312,0.9283,0.9355
23,-20.47275822237134,0.9292,0.9325
24,-20.7269214473784,0.9283,0.933
25,-20.955451445984842,0.9305,0.933
26,-21.195529863506554,0.9311,0.9355
27,-21.322339310127497,0.9316,0.936
28,-21.385214457920192,0.9286,0.9355
29,-21.642548706862332,0.933,0.9335
30,-21.650532589533924,0.9306,0.9375
31,-21.816472447299958,0.9313,0.934
32,-21.857903361204265,0.9292,0.9355
33,-21.891097228392958,0.928,0.9345
34,-22.17430565082431,0.9335,0.9365
35,-22.197577656888964,0.9333,0.9355
36,-22.238568540674446,0.9333,0.9355
37,-22.22010420562625,0.9304,0.934
38,-22.33779295451939,0.9322,0.9365
39,-22.32389063659012,0.9317,0.934
40,-22.46401092016995,0.9336,0.934
41,-22.44595840574801,0.9313,0.9355
42,-22.539763666653634,0.9346,0.934
43,-22.509334749132396,0.9319,0.933
44,-22.546813827866316,0.9329,0.933
45,-22.65225892650783,0.9353,0.9355
46,-22.624907841706275,0.9338,0.935
47,-22.430904769694806,0.9284,0.9345
48,-22.742439330017568,0.9359,0.934
49,-22.63180009548664,0.9317,0.936
50,-22.649859744155407,0.9333,0.9345
51,-22.782437494465707,0.9351,0.9365
52,-22.673632943829894,0.9325,0.9355
53,-22.58963935509324,0.93,0.936
54,-22.614535412675142,0.9311,0.936
55,-22.703017860499024,0.9318,0.9355
56,-22.801376987659932,0.9352,0.9355
57,-22.790692387378215,0.9337,0.9355
58,-22.830875575897096,0.9342,0.935
59,-22.728008124729993,0.9316,0.935
60,-22.572238936942817,0.9287,0.935
61,-22.70193254788816,0.9319,0.934
62,-22.83858909456134,0.934,0.935
63,-22.73375251903534,0.9327,0.935
64,-22.793753383290767,0.9331,0.935
65,-22.662672698959707,0.9299,0.935
66,-22.866201958829166,0.9359,0.935
67,-22.802055000922085,0.9317,0.935
68,-22.754376252907516,0.933,0.935
69,-22.783115996092558,0.9314,0.9345
70,-22.675362302404643,0.9292,0.935
71,-22.76258346326053,0.9321,0.935
72,-22.693992943501474,0.9308,0.935
73,-22.85087928248644,0.9357,0.935
74,-22.696353031256795,0.9305,0.935
75,-22.730444733184576,0.9306,0.935
76,-22.74156320682168,0.9321,0.935
77,-22.892596355608106,0.9356,0.935
78,-22.972741063952444,0.9381,0.935
79,-22.73368202176988,0.9321,0.935
80,-22.726132958340646,0.9316,0.935
81,-22.787952426755428,0.9332,0.935
82,-22.795088435077666,0.9339,0.935
83,-22.75021649207771,0.9337,0.935
84,-22.7489323415488,0.9328,0.935
85,-22.811309986487032,0.9343,0.935
86,-22.7297060498178,0.9319,0.935
87,-22.74442448733151,0.9327,0.935
88,-22.72006549591422,0.9318,0.935
89,-22.659005542963744,0.9298,0.935
90,-22.83018386836052,0.934,0.935
91,-22.76147176467776,0.9333,0.935
92,-22.80901300815344,0.9349,0.935
93,-22.825834834897517,0.9344,0.935
94,-22.781327573657038,0.9329,0.935
95,-22.62739641058743,0.9295,0.935
96,-22.638644863665103,0.931,0.935
97,-22.890142073127627,0.9351,0.935
98,-22.685261277747156,0.93,0.935
99,-22.831047260400652,0.9348,0.935
100,-22.76507988717556,0.9338,0.935
