Epoch,Train Loss,Train Accuracy,Test Accuracy
1,-1.9541141146421432,0.7995,0.5
2,-3.151207235649228,0.7566,0.5245
3,-4.599736161465943,0.7999,0.54
4,-5.70445525239408,0.8105,0.5655
5,-6.588921733313799,0.8132,0.605
6,-7.340946149136126,0.8118,0.6545
7,-8.063755417583883,0.8157,0.6915
8,-8.706648589524626,0.8173,0.717
9,-9.282821682327986,0.8172,0.7415
10,-9.79912520390451,0.8162,0.7635
11,-10.262344580025971,0.8171,0.7745
12,-10.678438408485055,0.8163,0.781
13,-11.052671955391764,0.8161,0.7865
14,-11.389711155730486,0.8175,0.7935
15,-11.69350706036836,0.8176,0.792
16,-11.967532886090874,0.8176,0.795
17,-12.214853155839442,0.8168,0.7965
18,-12.43815324509442,0.8152,0.7975
19,-12.639850707189739,0.8151,0.799
20,-12.821999964617193,0.815,0.801
21,-12.986540920047462,0.814,0.8025
22,-13.135214938119054,0.8134,0.803
23,-13.269410639633238,0.8135,0.804
24,-13.390606209391356,0.8137,0.805
25,-13.500074018661678,0.814,0.806
26,-13.598836473797261,0.8138,0.8055
27,-13.687964066147805,0.8143,0.8055
28,-13.768421913526952,0.8139,0.804
29,-13.84100725928247,0.8134,0.804
30,-13.906430473217368,0.8135,0.805
31,-13.965447668620945,0.8135,0.8065
32,-14.01871339660287,0.8133,0.806
33,-14.066723242855073,0.8133,0.8065
34,-14.109990505447984,0.8132,0.8065
35,-14.148982177110016,0.8131,0.8065
36,-14.184123315142095,0.8132,0.8075
37,-14.215794773094355,0.8133,0.8075
38,-14.244327173645795,0.8132,0.808
39,-14.270020017574728,0.8132,0.8075
40,-14.293213061073422,0.8134,0.807
41,-14.314061583964527,0.8135,0.807
42,-14.33283563620448,0.8138,0.8065
43,-14.349749992442131,0.8136,0.806
44,-14.365086237369479,0.8137,0.806
45,-14.378845340490342,0.8138,0.806
46,-14.390947402243317,0.814,0.806
47,-14.401604405479134,0.8141,0.806
48,-14.411297237116099,0.814,0.806
49,-14.42051665546149,0.814,0.806
50,-14.429429142332078,0.814,0.806
51,-14.437991590118408,0.814,0.806
52,-14.446043740533293,0.8139,0.806
53,-14.453357329820097,0.814,0.806
54,-14.459624281588196,0.814,0.806
55,-14.464557988075912,0.814,0.806
56,-14.467918791273236,0.814,0.806
57,-14.469800542725622,0.8141,0.806
58,-14.470563550390303,0.8141,0.806
59,-14.470812926876546,0.8141,0.806
60,-14.470924208413065,0.814,0.806
61,-14.471018008802831,0.8141,0.806
62,-14.471104293118417,0.8141,0.806
63,-14.471176349039375,0.8143,0.806
64,-14.471242985610663,0.8143,0.806
65,-14.4713047257483,0.8143,0.806
66,-14.471360291844606,0.8144,0.806
67,-14.471411207553745,0.8143,0.806
68,-14.47145338319838,0.8143,0.806
69,-14.471496305663884,0.8143,0.806
70,-14.471531877866388,0.8143,0.806
71,-14.471563194167613,0.8142,0.806
72,-14.471593946863711,0.8142,0.806
73,-14.471619169317187,0.8142,0.806
74,-14.471641439121962,0.8142,0.806
75,-14.471660523983836,0.8142,0.806
76,-14.471683618183434,0.8142,0.806
77,-14.471704713194072,0.8142,0.806
78,-14.47171849502474,0.8142,0.806
79,-14.471734961694478,0.8142,0.806
80,-14.471748325794936,0.8142,0.806
81,-14.471759654125572,0.8142,0.806
82,-14.471772820039094,0.8142,0.806
83,-14.471782687400282,0.8142,0.806
84,-14.47179133951813,0.8142,0.806
85,-14.471797675788402,0.8142,0.806
86,-14.471805685290695,0.8142,0.806
87,-14.471810036069154,0.8142,0.806
88,-14.471816884937882,0.8142,0.806
89,-14.471822486308216,0.8142,0.806
90,-14.47182698828131,0.8142,0.806
91,-14.47183129004687,0.8142,0.806
92,-14.471834171885252,0.8142,0.806
93,-14.471836623640359,0.8142,0.806
94,-14.47183765643984,0.8142,0.806
95,-14.471842442950607,0.8142,0.806
96,-14.47184304227382,0.8142,0.806
97,-14.47184443668574,0.8142,0.806
98,-14.471848170056939,0.8142,0.806
99,-14.471849804310501,0.8142,0.806
100,-14.471851958249509,0.8142,0.806
