Epoch,Train Loss,Train Accuracy,Test Accuracy
1,-0.9765522913366557,0.724,0.8335
2,-2.166647532454133,0.8226,0.8425
3,-3.407173086538911,0.8343,0.8495
4,-4.613220666489005,0.8428,0.8575
5,-5.644203685507178,0.843,0.862
6,-6.66459454587698,0.8491,0.8605
7,-7.510650978016853,0.8491,0.8585
8,-8.439523443377018,0.8556,0.8525
9,-9.16367544273138,0.8552,0.8695
10,-9.999296438580751,0.863,0.8615
11,-10.7406523671031,0.8695,0.871
12,-11.223812527531386,0.8648,0.8675
13,-11.757929758957028,0.8664,0.8715
14,-12.255009040307998,0.8694,0.872
15,-12.733617839494348,0.8703,0.876
16,-13.210645556169748,0.8732,0.8685
17,-13.523022983768582,0.8721,0.8735
18,-13.763288623291254,0.8707,0.8745
19,-14.167510787647963,0.8744,0.8745
20,-14.404728787341714,0.8756,0.879
21,-14.646774431282282,0.875,0.8785
22,-15.00820452581048,0.88,0.8735
23,-15.18667459807396,0.8808,0.8755
24,-15.297837835514546,0.8773,0.8745
25,-15.49610542141497,0.8815,0.877
26,-15.61198165947795,0.8781,0.8765
27,-15.799739962679148,0.8797,0.874
28,-15.938085994958877,0.8835,0.8775
29,-16.013324425074458,0.8808,0.876
30,-16.06600811624527,0.8807,0.875
31,-16.261042495799064,0.8816,0.875
32,-16.26819837208092,0.8808,0.8775
33,-16.487953296020628,0.8847,0.8745
34,-16.49584449801445,0.8831,0.8745
35,-16.502047318068147,0.881,0.8795
36,-16.599853053846957,0.8837,0.8795
37,-16.609107976570726,0.8816,0.8755
38,-16.7296385156095,0.8858,0.879
39,-16.6566450917691,0.882,0.8785
40,-16.773810398465393,0.8854,0.877
41,-16.70899708195329,0.8841,0.876
42,-16.772238109636305,0.8818,0.8775
43,-16.83818412015736,0.8856,0.879
44,-16.784210629463196,0.8821,0.879
45,-16.96645610960126,0.8861,0.878
46,-16.807018948328494,0.8824,0.878
47,-16.875346936282515,0.8839,0.878
48,-16.987517726960778,0.8862,0.876
49,-17.03617136335373,0.8866,0.8765
50,-16.991106364500524,0.8856,0.876
